sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.enc.prompt.txt::01251,It's a good,1.0,content_diversity,day to go shopping.,day to plan a wedding.,day to get some chores done.,time to invest in the stock market.,time to get some work done.,-0.094,0.874,-0.445,1.410,0.282,4.978,0.996,-0.329,10.756,0.468
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,-0.009,0.974,-0.105,2.585,0.517,4.993,0.999,-0.125,20.650,0.712
test.enc.prompt.txt::01252,It seems your,0.0,content_diversity,sweet little kitten adores getting attention!,"cat is begging for attention, so have you been giving her any?",cat is very sociable and friendly around other people!,"kitty is extremely affectionate, what a sweetheart!",time spent with your cat isn’t enough because she is starved for attention.,-0.021,0.970,-0.252,2.170,0.434,4.945,0.989,-0.458,21.360,0.647
test.enc.prompt.txt::01253,I wouldn't accept,1.0,content_diversity,anything but the truth,not loving you anymore,money from her,you leaving,mediocreness,-0.007,0.786,0.028,2.661,0.532,4.907,0.981,-0.275,6.428,0.918
test.enc.prompt.txt::01254,In a magazine,1.0,content_diversity,so many pages,theres lots of advertisements,i saw there was a model who was pretty,there was a car,that was boring,-0.038,0.919,-0.183,1.965,0.393,4.521,0.904,-0.191,7.650,0.850
test.enc.prompt.txt::01255,I don't know...,1.0,content_diversity,why this happens,think so,know anyone who can,what time it is,where it went,-0.006,0.787,-0.137,1.509,0.302,4.869,0.974,-0.350,4.932,0.822
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,-0.027,0.547,-0.154,2.305,0.461,4.986,0.997,-0.249,6.369,0.910
test.enc.prompt.txt::01257,Don't you think,1.0,content_diversity,you should check?,you should hear him out?,you've done enough?,it's time to quit?,it's time to try again?,-0.051,0.890,-0.390,2.287,0.457,4.870,0.974,-0.380,8.705,0.544
test.enc.prompt.txt::01258,You know what,1.0,content_diversity,"I've had enough, I'm, out of here.",I really think I like the bigger one better than the smaller one.,you have some knid of nerve coming here today.,"I think you are really, really dumb.",this is used for? I bet you can't guess.,-0.025,0.951,-0.092,2.383,0.397,4.967,0.993,-0.204,14.427,0.451
test.enc.prompt.txt::01258,You know what,0.0,content_diversity,I'd go for the big one over the small one.,I think the small one isn't as good as the bigger one.,I really think the bigger one is the best of the two.,I would choose the big one over the small one every time.,"I like the bigger one much better than the smaller one,",-0.185,0.782,-0.537,1.991,0.398,4.948,0.990,-0.584,13.368,0.343
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,-0.089,0.885,-0.266,1.444,0.289,4.400,0.880,-0.282,8.873,0.807
test.enc.prompt.txt::01260,May I ask,1.0,content_diversity,where did you get this number?,how did you find me,how did you get your driving license,how didn't you see him crossing the road,do you like eggs,-0.087,0.888,-0.297,2.079,0.416,3.970,0.794,-0.250,10.806,0.831
test.enc.prompt.txt::01262,How many questions,1.0,content_diversity,can you possibly have?,are on the test?,are on the intake form?,does she have for me?,am I allowed to ask?,-0.033,0.936,-0.317,2.517,0.503,4.433,0.887,-0.403,7.161,0.651
test.enc.prompt.txt::01264,Maybe you're fed,0.0,content_diversity,payment will be processed quickly,money will show in your bank account by the end of the day,cash will arrive soon,credit will not give you reason for patience,advance will get to you within the hour,-0.035,0.963,-0.321,1.423,0.285,4.886,0.977,-0.413,13.917,0.696
test.enc.prompt.txt::01265,"Eve, I don't",1.0,content_diversity,think you have the skills for the job.,think you want to make any hasty decisions.,want you to leave.,think you should stay with your husband.,think you should keep using drugs.,-0.084,0.896,-0.323,1.756,0.351,4.854,0.971,-0.121,8.099,0.368
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,-0.147,0.774,-0.476,1.634,0.327,4.698,0.940,-0.636,9.905,0.367
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",0.000,1.000,-0.242,2.222,0.444,4.867,0.973,-0.221,8.839,0.631
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,-0.013,0.974,-0.003,2.033,0.290,4.653,0.931,-0.158,12.913,0.538
test.enc.prompt.txt::01268,What's wrong with,0.0,content_diversity,"you, has your dog died?","your face, you look so sad, has someone croaked?",your eyes? Are you crying? Did he die?,"You, you lost a relative or something?","you, why so sad? Did something bad happen?",-0.027,0.957,-0.214,2.204,0.276,4.572,0.914,-0.591,17.023,0.567
test.enc.prompt.txt::01269,Yes! Yes! The,1.0,content_diversity,others said the same thing,boss said we are gonna leave soon,dinner is almost ready,same thing happened to me,light is still on,-0.021,0.958,-0.199,1.598,0.320,4.601,0.920,-0.237,12.564,0.838
test.enc.prompt.txt::01270,I don't have,0.0,content_diversity,anything to give you.,what you're asking for.,whatever it is you are looking for.,what you need.,anything you want.,-0.046,0.943,-0.344,1.991,0.398,4.679,0.936,-0.603,8.046,0.575
test.enc.prompt.txt::01272,I think it's,1.0,content_diversity,gonna rain,the best film i've seen,more than complicated,impossible to travel on mars,so ugly sweater,0.000,1.000,-0.085,2.125,0.425,4.980,0.996,-0.138,9.690,0.807
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,-0.094,0.517,-0.515,1.609,0.322,4.941,0.988,-0.382,7.328,0.564
test.enc.prompt.txt::01273,Watching television in,0.0,content_diversity,my panties.,my boxers.,my undergarments.,my skivvies.,my briefs.,-0.100,0.320,-0.615,1.000,0.200,4.286,0.857,-0.448,5.377,0.597
test.enc.prompt.txt::01274,Why not buy,1.0,content_diversity,in bulk,more toilet paper,his product,new book for uni,this fancy phone,0.000,0.800,-0.223,1.770,0.354,4.992,0.998,-0.153,7.733,0.859
test.enc.prompt.txt::01274,Why not buy,0.0,content_diversity,new textbook,this book that is for your course,textbook for university,this new book that will help you at uni,textbook for your course at uni,-0.079,0.854,-0.285,1.541,0.308,4.929,0.986,-0.673,7.315,0.563
test.enc.prompt.txt::01276,Adam? Don't even,1.0,content_diversity,think about it!,utter his name!,know who that is.,tell me.,want to see him.,0.000,0.800,-0.343,1.935,0.387,4.971,0.994,-0.407,8.230,0.686
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,-0.056,0.942,-0.218,2.012,0.402,4.955,0.991,-0.176,8.676,0.667
test.enc.prompt.txt::01279,It didn't used,1.0,content_diversity,to be that way,work before so i see why,to go out all of the time,get so cold this time of the year,"begin that way, it kinda happened",-0.022,0.954,-0.022,2.027,0.405,4.186,0.837,-0.288,11.325,0.809
test.enc.prompt.txt::01279,It didn't used,0.0,content_diversity,why is it already getting col,it got cold faster than usual,its pretty cold out so sonn,its really cool already,i cant believe how cold it is already,-0.036,0.947,-0.083,2.219,0.444,4.634,0.927,-0.339,12.233,0.765
test.enc.prompt.txt::01280,He has a,1.0,content_diversity,medical issue.,wife at home.,huge problem with me.,girlfriend already.,mental problem.,-0.007,0.785,-0.442,1.379,0.276,4.999,1.000,-0.157,8.158,0.544
test.enc.prompt.txt::01281,The guy with,0.0,content_diversity,the playful german shepherd,the hyperactive large canine,the frisbee playing golden retriever,that really happy great pyrennees,a smiling poodle that is light on it's feet,-0.017,0.978,-0.152,2.331,0.466,4.985,0.997,-0.257,11.039,0.581
test.enc.prompt.txt::01282,"Yep. You know,",1.0,content_diversity,they always act like that,I feel the same way,the beach is relaxing,having a job is a good thing,this pandemic has been bizarre,-0.008,0.977,-0.143,2.366,0.473,4.305,0.861,-0.238,8.855,0.738
test.enc.prompt.txt::01282,"Yep. You know,",0.0,content_diversity,this virus has not followed norms in any way at all,there are just no models to predict how this epidemic will be,the things everyone is doing for this illness are just stranger than strange,I have never seen anything like covid-19,everything that has been happening with the pandemic has us in a new normal society,-0.016,0.969,-0.057,2.097,0.419,4.925,0.985,-0.355,11.075,0.426
test.enc.prompt.txt::01283,Then just help,1.0,content_diversity,me instead,everyone please,if you can,as best as you can,all of the kids only,-0.016,0.948,-0.136,2.233,0.447,4.998,1.000,-0.370,4.756,0.951
test.enc.prompt.txt::01284,I thought I,1.0,content_diversity,knew you i guess not,could trust you,called you this morning,told you about it,confirmed everything,-0.031,0.967,-0.068,2.136,0.427,4.998,1.000,-0.364,8.176,0.908
test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,-0.019,0.960,-0.241,2.751,0.550,4.914,0.983,-0.194,9.856,0.469
test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,0.000,1.000,-0.034,2.407,0.481,4.997,0.999,-0.180,8.440,0.844
test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,-0.042,0.750,-0.272,3.789,0.758,4.997,0.999,-0.552,3.994,0.999
test.enc.prompt.txt::01287,No. I admire,0.0,content_diversity,the things you do are cool,"everything you do, its unique",how come everything you do is awesome?,very cool things that you do,everything you do seems cool,-0.122,0.865,-0.383,2.422,0.484,4.382,0.876,-0.705,9.447,0.675
test.enc.prompt.txt::01289,"Adam...dumb question, but",1.0,content_diversity,do you like me as a friend,do you think we could be together,do you believe in ghosts,do you think trump should resign,do you believe in karma,-0.161,0.827,-0.349,1.634,0.327,4.611,0.922,-0.270,10.219,0.852
test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,-0.416,0.579,-0.770,1.793,0.359,4.436,0.887,-0.816,8.983,0.599
test.enc.prompt.txt::01292,We can make,1.0,content_diversity,the project work.,dinner together.,our kids happy.,everything better.,our love last.,-0.007,0.585,-0.417,1.424,0.285,4.990,0.998,-0.245,8.583,0.572
test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,-0.018,0.760,-0.435,1.811,0.362,4.954,0.991,-0.507,9.609,0.565
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,-0.054,0.941,-0.612,1.306,0.261,4.653,0.931,-0.641,7.840,0.713
test.enc.prompt.txt::01296,This is great,0.0,content_diversity,"film, so enjoyable","movie, i enjoyed watching it","movie, everyone should give it a try","movie, i really liked it","film, i think it is worth watching",-0.055,0.924,-0.423,1.589,0.318,4.012,0.802,-0.646,9.148,0.436
test.enc.prompt.txt::01297,You have very,1.0,content_diversity,pretty eyes,longing smile,soft hands,well got to be kidding me,tall friends,0.000,1.000,-0.131,1.649,0.330,4.997,0.999,-0.295,8.627,0.784
test.enc.prompt.txt::01297,You have very,0.0,content_diversity,your friends are really tall,they are really tall,"everyone you know, are so tall",how come your friends are so tall,they are very tall,-0.150,0.796,-0.505,2.872,0.574,4.112,0.822,-0.696,7.785,0.599
test.enc.prompt.txt::01298,I've got goose-bumps,1.0,content_diversity,just thinking about it,from this weather,talking about the past,all over me,from drinking cold water,-0.011,0.778,-0.144,1.970,0.394,4.991,0.998,-0.242,6.015,0.859
test.enc.prompt.txt::01299,"Oh, yes. It",0.0,content_diversity,hard to stay friends with you,is hard to be your friend,is really hard to be a friend of yours,is impossible to be your friend,is kinda hard to be your pal,-0.200,0.775,-0.544,2.143,0.429,4.514,0.903,-0.796,9.338,0.718
test.enc.prompt.txt::01301,How old are,1.0,content_diversity,these puppies,your parents,these dirty socks,"people in japan, on average",these tomatoes,-0.026,0.971,-0.270,1.684,0.337,5.000,1.000,-0.087,7.716,0.857
test.enc.prompt.txt::01302,He seems to,1.0,content_diversity,be sicker than we originally thought.,really like his date.,like driving trucks.,want a dog for his next pet.,hate his job.,-0.020,0.974,-0.302,2.584,0.517,4.996,0.999,-0.079,12.220,0.611
test.enc.prompt.txt::01303,...and his church,1.0,content_diversity,fought the shooter off quickly,defied the orders on social distancing,became a cult group,snubbed a family that wanted to join,isn't really spiritual it's more a social gathering place,-0.016,0.974,-0.095,1.896,0.379,4.558,0.912,-0.225,13.170,0.658
test.enc.prompt.txt::01303,...and his church,0.0,content_diversity,congregation got together regardless of the rules,refused to comply with the governor's orders,had a large meeting in spite of the virus situation,angrily said they will stay open no matter what,infected a large amount of people due to their actions,-0.026,0.957,-0.227,2.394,0.479,4.991,0.998,-0.194,13.101,0.504
test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",-0.045,0.922,-0.267,2.028,0.406,4.994,0.999,-0.276,6.793,0.340
test.enc.prompt.txt::01306,"So...you...survived the blast,",1.0,content_diversity,are you ok after that?,that is insane,how does that happen?,wow how did you do that,that is impressive,-0.056,0.930,-0.200,2.153,0.431,4.941,0.988,-0.385,6.763,0.966
test.enc.prompt.txt::01309,"Hi, honey! Feeling",1.0,content_diversity,frisky?,hungry?,like going out?,happy today?,like doing the taxes today?,-0.011,0.967,-0.391,2.137,0.427,4.925,0.985,-0.239,8.641,0.617
test.enc.prompt.txt::01309,"Hi, honey! Feeling",0.0,content_diversity,like going to do something?,like going on a date?,like getting out and having fun?,letting me take you out?,stepping out with me?,-0.024,0.958,-0.262,2.063,0.413,4.976,0.995,-0.390,10.001,0.588
test.enc.prompt.txt::01310,We have to,1.0,content_diversity,think logically,go soon,believe in each other,be more clear next time,call again,0.000,1.000,-0.137,1.908,0.382,4.963,0.993,-0.278,8.765,0.974
test.enc.prompt.txt::01311,Get the presents,1.0,content_diversity,for our family,and pack them,"into car, we'll deliver them",for my orphans,and put them on the table,-0.025,0.960,-0.194,1.803,0.361,4.973,0.995,-0.227,7.426,0.825
test.enc.prompt.txt::01311,Get the presents,0.0,content_diversity,for our relatives,for the kids,for my parents,for my grandparents,our siblings,-0.065,0.506,-0.521,1.000,0.200,4.803,0.961,-0.426,4.761,0.952
test.enc.prompt.txt::01312,"Yes, yes it",0.0,content_diversity,will be sure to put your mind to the test.,is the determining factor of whether you go to the next grade or not!,is an important achievement to accomplish.,is up to you what you do with the knowledge you have acquired.,but I have faith you will perform wonderfully.,-0.042,0.937,-0.190,2.399,0.480,4.996,0.999,-0.354,12.340,0.537
test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",-0.032,0.961,0.002,2.066,0.413,4.997,0.999,-0.140,19.310,0.666
test.enc.prompt.txt::01313,We stay down,0.0,content_diversity,"south for a while then head north,",south first and the north.,south for a while then go north.,south for 7 days and then north for another 7.,south to begin with then move north.,-0.124,0.819,-0.384,1.733,0.347,4.111,0.822,-0.730,14.062,0.586
test.enc.prompt.txt::01315,How long will,0.0,content_diversity,spending time at your mothers be,the doctor appointment last,we spend at the funeral home visitation,you stay over at her house,she sit on my couch today,-0.013,0.979,-0.159,1.648,0.330,4.838,0.968,-0.297,11.414,0.761
test.enc.prompt.txt::01316,What are you,1.0,content_diversity,thinking about,doing tonight,gonna do about this,having for dinner tonight,calling this now,-0.020,0.760,-0.097,2.661,0.532,4.989,0.998,-0.312,5.288,0.881
test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,-0.051,0.931,-0.339,2.027,0.405,4.940,0.988,-0.690,8.843,0.884
test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,-0.015,0.967,-0.168,1.861,0.372,4.984,0.997,-0.224,7.415,0.927
test.enc.prompt.txt::01320,It means that,0.0,content_diversity,try harder,make an effirt again,be gentle and try another time,try to do it again,maybe have another go again,-0.032,0.955,-0.253,2.436,0.487,4.975,0.995,-0.573,10.589,0.882
test.enc.prompt.txt::01322,Are you kidding?!,1.0,content_diversity,I can't believe it!,I had no idea.,She said what?,I have to see it!,What?!,-0.018,0.965,-0.132,1.867,0.311,4.958,0.992,-0.413,7.945,0.722
test.enc.prompt.txt::01322,Are you kidding?!,0.0,content_diversity,Show me!,Let me see!,Let's have a look.,I want to see it.,I must see this.,-0.009,0.978,-0.299,2.508,0.502,4.938,0.988,-0.673,9.486,0.632
test.enc.prompt.txt::01323,Go to the,1.0,content_diversity,mall and get me some clothes,store and buy me cigarettes,frank's house,gas station and pick me up,post office and get the package for me,-0.045,0.939,-0.171,2.020,0.404,4.647,0.929,-0.238,13.025,0.814
test.enc.prompt.txt::01324,Or pee in,1.0,content_diversity,the glass,the field,the sea,a restaurant toilet,"there, behind that bush",-0.030,0.769,-0.065,1.841,0.368,4.950,0.990,-0.156,6.389,0.799
test.enc.prompt.txt::01326,And if we,0.0,content_diversity,Take a different route we can save time.,want to save time we can go by the river.,need to get there on time we can take the river route.,"go by the river we will get there faster,",take the river road we will save time.,-0.145,0.804,-0.505,1.581,0.316,4.927,0.985,-0.648,18.702,0.623
test.enc.prompt.txt::01327,Millions upon millions,1.0,content_diversity,of dollars constantly wasted,and its mine,of money,is great,would be cool,-0.007,0.786,-0.222,2.228,0.446,4.508,0.902,-0.318,6.958,0.870
test.enc.prompt.txt::01328,I'm going to,1.0,content_diversity,make you a dinner,"the bar, don't wait for me",take the trash out,learn how to play a guitar,make a plan,-0.024,0.965,-0.084,1.963,0.393,4.922,0.984,-0.100,10.281,0.791
test.enc.prompt.txt::01329,I don't want,1.0,content_diversity,to go home yet,cry right now,more food,to move,to go to sleep,-0.038,0.727,-0.129,1.767,0.353,4.992,0.998,-0.151,7.138,0.793
test.enc.prompt.txt::01329,I don't want,0.0,content_diversity,i need food now,"more please, i am hungry",we need food for everyone,this is not enough food,not sure if the food will be enough,-0.044,0.939,-0.215,2.212,0.442,4.815,0.963,-0.607,9.847,0.757
test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,-0.070,0.918,-0.569,2.020,0.404,4.890,0.978,-0.754,8.417,0.468
test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,-0.082,0.902,-0.121,2.155,0.431,4.996,0.999,-0.198,8.448,0.650
test.enc.prompt.txt::01333,Detective Williams here.,0.0,content_diversity,Can I help you?,Are you in need of help?,What can I do for you?,I am available to help.,Do you need some help?,-0.032,0.946,-0.387,2.220,0.444,4.372,0.874,-0.645,8.351,0.696
test.enc.prompt.txt::01334,Why do you,1.0,content_diversity,think its ok,not know the time,keep calling me,continue to yell,speak like that,0.000,0.800,-0.129,1.567,0.313,4.779,0.956,-0.271,8.761,0.876
test.enc.prompt.txt::01335,And that man,0.0,content_diversity,isn't reliable,", we can't trust him",we can't rely on him,isn't honest,can never be trusted,-0.027,0.940,-0.353,2.536,0.507,4.430,0.886,-0.609,8.439,0.767
test.enc.prompt.txt::01336,"Well now Jeffrey,",0.0,content_diversity,no more complaining,just stop,can you stop doing that,no complaing anymore,i dont want to hear complaints,-0.013,0.979,-0.158,1.803,0.361,4.732,0.946,-0.565,7.357,0.920
test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,-0.020,0.749,-0.283,1.986,0.397,4.791,0.958,-0.437,3.971,0.993
test.enc.prompt.txt::01339,"Oh God, that",1.0,content_diversity,explains it.,can't be true.,looks like a dead body.,looks like purse I lost.,looks like the guy who robbed me.,-0.035,0.940,-0.334,2.231,0.446,4.835,0.967,-0.184,11.500,0.575
test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,-0.026,0.954,-0.287,2.204,0.441,4.995,0.999,-0.412,9.402,0.855
test.enc.prompt.txt::00351,Pop it open.,1.0,content_diversity,my friend,or else,if you think you can,like a champagne bottle on new year's eve,in order to complete your task,0.000,0.991,-0.062,1.898,0.380,4.917,0.983,-0.153,11.281,0.868
test.enc.prompt.txt::00351,Pop it open.,0.0,content_diversity,buddy,my dude,bucko,pal,my amigo,-0.010,0.371,-0.288,2.586,0.517,4.888,0.978,-0.325,3.921,0.784
test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,-0.005,0.788,-0.144,3.701,0.740,4.995,0.999,-0.109,6.757,0.676
test.enc.prompt.txt::00352,"Mr. President, it's",0.0,content_diversity,the First Lady calling you,your spouse waiting on the phone,Mrs. President waiting to speak with you,the mother of your children wanting to talk to you,a phone call from your significant other,-0.035,0.943,-0.304,2.181,0.436,4.992,0.998,-0.383,12.735,0.707
test.enc.prompt.txt::00353,Who's flying the,1.0,content_diversity,airplane so low to the ground?,drone and making so much noise at 5:00 AM on a Sunday?,kite close to that tree.  They are going to get tangled in the branches?,hot air ballon that almost landed in my strawberry field?,helicopter that is going to take us to the Grand Canyon?,-0.034,0.950,-0.120,2.937,0.490,4.992,0.998,-0.168,20.536,0.555
test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,-0.019,0.967,-0.189,2.395,0.479,4.998,1.000,-0.209,17.613,0.587
test.enc.prompt.txt::00355,It was a,1.0,content_diversity,Cold and frosty morning,a starry night,a great tragedy,a huge achievement for the team,start which lead into something good,-0.016,0.982,-0.099,2.014,0.403,4.950,0.990,-0.242,11.079,0.791
test.enc.prompt.txt::00355,It was a,0.0,content_diversity,Sad moment,Upsetting and tiresome time,loss to the entire community,a huge blow to the team,catastrophe on which they had never seen before,-0.012,0.974,-0.046,2.343,0.469,4.981,0.996,-0.474,10.310,0.736
test.enc.prompt.txt::00356,General Greely says,1.0,content_diversity,go West!,get in line,don’t quit!,Be a good soldier,Don’t be a hero,-0.005,0.787,-0.185,3.049,0.610,4.932,0.986,-0.167,8.459,0.705
test.enc.prompt.txt::00356,General Greely says,0.0,content_diversity,Salute me!,Pivot left!,Go to Grub Hall,Jump in the trenches,Hoorah soldier!,0.000,0.800,-0.052,2.828,0.566,4.719,0.944,-0.306,10.792,0.830
test.enc.prompt.txt::00357,The Chief Justice?,0.0,content_diversity,loves cold cuts on his lunch hour.,"tried smoked turkey one week, but didn't much care for it.","sometimes adds a slice of raw onion, much to the dismay of the court after reconvening for the afternoon.",has a very high cholesterol percentage.,should try salads for a change.,-0.013,0.967,-0.188,1.929,0.386,4.996,0.999,-0.153,24.275,0.674
test.enc.prompt.txt::00358,The rest of,0.0,content_diversity,the day was eneventful.,the day following the meeting was dull.,the workday was pretty boring.,the day was fairly uneventful.,the day after the meeting was pretty dull.,-0.170,0.810,-0.602,2.064,0.413,4.167,0.833,-0.525,10.189,0.485
test.enc.prompt.txt::00359,How many others,1.0,content_diversity,Are here?,will cut me off?,arrived early?,enjoy shrimp and chips?,really love raising cats?,0.000,0.800,-0.293,2.496,0.499,4.950,0.990,-0.103,10.177,0.679
test.enc.prompt.txt::00359,How many others,0.0,content_diversity,are vegan?,love to eat steak?,will order shrimp on the menu?,got shrimp on Valentines Day?,ate out on their birthday?,-0.019,0.961,-0.306,2.089,0.418,4.971,0.994,-0.215,9.770,0.543
