sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.enc.prompt.txt::01261,"Like you said,",1.0,content_diversity,you shouldn't drink and drive,you should end things up with him,you can't focus,you need to train harder,you believe in love on first sight,-0.039,0.970,-0.192,2.032,0.406,4.986,0.997,-0.143,19.084,0.616
test.enc.prompt.txt::01261,"Like you said,",0.0,content_diversity,you should break u with him,you should leave him,you can't be in relationship with him,you need to get away from him,you can't stay together,-0.082,0.902,-0.420,1.795,0.359,4.926,0.985,-0.525,20.659,0.646
test.enc.prompt.txt::01262,How many questions,1.0,content_diversity,can you possibly have?,are on the test?,are on the intake form?,does she have for me?,am I allowed to ask?,-0.033,0.936,-0.317,2.028,0.406,4.433,0.887,-0.403,13.847,0.495
test.enc.prompt.txt::01262,How many questions,0.0,content_diversity,can I ask?,can I give to you?,can I request?,is reasonable to ask?,is it OK for me to have?,-0.079,0.904,-0.369,1.752,0.350,4.950,0.990,-0.670,13.256,0.491
test.enc.prompt.txt::01263,I kinda get,1.0,content_diversity,what you mean,why you like him,what so great,the resemblense,hype about it,-0.012,0.773,-0.079,2.671,0.534,4.951,0.990,-0.419,11.268,0.751
test.enc.prompt.txt::01263,I kinda get,0.0,content_diversity,i see why you,"now i see why , hes really cute","i get it now, why","kinda get why, hes cute",oh i mean i get why you do,-0.092,0.871,-0.272,2.432,0.486,4.271,0.854,-0.601,23.019,0.719
test.enc.prompt.txt::01264,Maybe you're fed,1.0,content_diversity,up with your boss,so completely you'll not eat for hours,by a great chef,loan will be here soon,holiday will be paid this year,-0.012,0.975,-0.066,2.567,0.513,4.923,0.985,-0.135,15.341,0.548
test.enc.prompt.txt::01264,Maybe you're fed,0.0,content_diversity,payment will be processed quickly,money will show in your bank account by the end of the day,cash will arrive soon,credit will not give you reason for patience,advance will get to you within the hour,-0.035,0.963,-0.321,1.724,0.345,4.886,0.977,-0.413,26.225,0.690
test.enc.prompt.txt::01265,"Eve, I don't",1.0,content_diversity,think you have the skills for the job.,think you want to make any hasty decisions.,want you to leave.,think you should stay with your husband.,think you should keep using drugs.,-0.084,0.896,-0.323,2.068,0.414,4.854,0.971,-0.121,14.694,0.387
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,-0.147,0.774,-0.476,2.336,0.467,4.698,0.940,-0.636,23.646,0.483
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",0.000,1.000,-0.242,2.123,0.425,4.867,0.973,-0.221,13.055,0.568
test.enc.prompt.txt::01266,Get out of,0.0,content_diversity,my home.,my bedroom.,my abode.,my kitchen.,"my home, please.",-0.093,0.527,-0.469,1.155,0.231,4.602,0.920,-0.650,7.717,0.454
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,-0.013,0.974,-0.003,2.298,0.328,4.653,0.931,-0.158,31.161,0.649
test.enc.prompt.txt::01267,"Say,...did you just",0.0,content_diversity,grab my coffee thinking it was yours?,think that coffee was yours because it's mine.,pick up my cup of tea by mistake?,take my cup of coffee in error?,take my cofee thinking it was yours?,-0.086,0.861,-0.335,2.011,0.402,4.989,0.998,-0.522,28.283,0.643
test.enc.prompt.txt::01268,What's wrong with,1.0,content_diversity,you? Has someone died?,the idea? Have you a better one?,"it? I'll tell you what's wrong with it, it's hideous.",wanting things to go my way for a change huh?,the car? Is it the battery again?,-0.010,0.979,-0.088,2.083,0.231,4.923,0.985,-0.215,36.575,0.677
test.enc.prompt.txt::01268,What's wrong with,0.0,content_diversity,"you, has your dog died?","your face, you look so sad, has someone croaked?",your eyes? Are you crying? Did he die?,"You, you lost a relative or something?","you, why so sad? Did something bad happen?",-0.027,0.957,-0.214,2.177,0.272,4.572,0.914,-0.591,33.450,0.669
test.enc.prompt.txt::01269,Yes! Yes! The,1.0,content_diversity,others said the same thing,boss said we are gonna leave soon,dinner is almost ready,same thing happened to me,light is still on,-0.021,0.958,-0.199,2.105,0.421,4.601,0.920,-0.237,17.131,0.685
test.enc.prompt.txt::01269,Yes! Yes! The,0.0,content_diversity,food will be done soon,we will be eating soon,its almost time for food,dinner will be served soon,we will eat dinner in a few,-0.076,0.899,-0.344,1.872,0.374,4.496,0.899,-0.740,14.334,0.531
test.enc.prompt.txt::01270,I don't have,1.0,content_diversity,what you want.,the answers.,the time for this.,any money.,any patience right now.,-0.014,0.773,-0.359,2.122,0.424,4.877,0.975,-0.401,13.071,0.654
test.enc.prompt.txt::01270,I don't have,0.0,content_diversity,anything to give you.,what you're asking for.,whatever it is you are looking for.,what you need.,anything you want.,-0.046,0.943,-0.344,1.827,0.365,4.679,0.936,-0.603,13.673,0.488
test.enc.prompt.txt::01271,"Wait, Eve, please!",1.0,content_diversity,I love you!,You still haven’t paid for your dinner!,You forgot your purse!,Let me buy you a drink!,Come and try this delicious apple from the tree!,-0.008,0.986,-0.237,2.729,0.546,4.895,0.979,-0.139,21.801,0.606
test.enc.prompt.txt::01271,"Wait, Eve, please!",0.0,content_diversity,"I would like to order a drink for you, if you’re interested.","You’re so beautiful, can I get you a beverage?",I need to find out more about you. Can I get you a martini or something?,Can we talk over drinks?,You have such a nice name. Can I grab you something to drink?,-0.055,0.916,-0.319,2.427,0.347,4.236,0.847,-0.605,40.651,0.598
test.enc.prompt.txt::01272,I think it's,1.0,content_diversity,gonna rain,the best film i've seen,more than complicated,impossible to travel on mars,so ugly sweater,0.000,1.000,-0.085,2.496,0.499,4.980,0.996,-0.138,14.821,0.740
test.enc.prompt.txt::01272,I think it's,0.0,content_diversity,the greatest movie i've seen,the most amazing movie i've seen,the coolest film of all time,fascinating movie,my favourite film,-0.053,0.896,-0.392,2.528,0.506,4.402,0.880,-0.702,12.854,0.494
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,-0.094,0.517,-0.515,1.425,0.285,4.941,0.988,-0.382,8.082,0.425
test.enc.prompt.txt::01273,Watching television in,0.0,content_diversity,my panties.,my boxers.,my undergarments.,my skivvies.,my briefs.,-0.100,0.320,-0.615,1.000,0.200,4.286,0.857,-0.448,7.245,0.483
test.enc.prompt.txt::01274,Why not buy,1.0,content_diversity,in bulk,more toilet paper,his product,new book for uni,this fancy phone,0.000,0.800,-0.223,2.030,0.406,4.992,0.998,-0.153,11.231,0.802
test.enc.prompt.txt::01274,Why not buy,0.0,content_diversity,new textbook,this book that is for your course,textbook for university,this new book that will help you at uni,textbook for your course at uni,-0.079,0.854,-0.285,2.494,0.499,4.929,0.986,-0.673,14.343,0.531
test.enc.prompt.txt::01275,Who are these,1.0,content_diversity,people on my lawn?,guys in my house?,podcasts from Apple?,four members of the band?,new workers?,-0.005,0.989,-0.393,2.449,0.490,4.994,0.999,-0.176,10.583,0.460
test.enc.prompt.txt::01275,Who are these,0.0,content_diversity,men in my home?,people in my living area?,individuals on my property?,humans in my chambers?,persons in my area?,-0.118,0.886,-0.655,1.124,0.225,4.970,0.994,-0.576,9.378,0.361
test.enc.prompt.txt::01276,Adam? Don't even,1.0,content_diversity,think about it!,utter his name!,know who that is.,tell me.,want to see him.,0.000,0.800,-0.343,2.370,0.474,4.971,0.994,-0.407,10.797,0.514
test.enc.prompt.txt::01276,Adam? Don't even,0.0,content_diversity,try it!,touch it!,think about doing that.,try.,touch.,-0.038,0.740,-0.452,1.871,0.374,4.405,0.881,-0.582,9.539,0.636
test.enc.prompt.txt::01277,Because I want,1.0,content_diversity,to go on vacation.,this pandemic to be over.,to have children when I'm older.,you to shut up.,what's best for the family.,-0.026,0.975,-0.222,2.913,0.583,4.534,0.907,-0.171,21.551,0.653
test.enc.prompt.txt::01277,Because I want,0.0,content_diversity,to be a mother in the future.,to have kids someday.,a family of my own.,my own offspring down the road.,babies in the coming years.,-0.037,0.930,-0.351,2.969,0.594,4.536,0.907,-0.424,18.229,0.570
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,-0.056,0.942,-0.218,1.874,0.375,4.955,0.991,-0.176,18.139,0.567
test.enc.prompt.txt::01278,I didn't know,0.0,content_diversity,you're gay,you like same sex,you like people of same sex,you are homosexual,you like boys even if you're a boy,-0.067,0.897,-0.340,1.707,0.341,4.167,0.833,-0.605,11.855,0.439
test.enc.prompt.txt::01279,It didn't used,1.0,content_diversity,to be that way,work before so i see why,to go out all of the time,get so cold this time of the year,"begin that way, it kinda happened",-0.022,0.954,-0.022,2.869,0.574,4.186,0.837,-0.288,21.760,0.680
test.enc.prompt.txt::01279,It didn't used,0.0,content_diversity,why is it already getting col,it got cold faster than usual,its pretty cold out so sonn,its really cool already,i cant believe how cold it is already,-0.036,0.947,-0.083,1.961,0.392,4.634,0.927,-0.339,23.117,0.771
test.enc.prompt.txt::01280,He has a,1.0,content_diversity,medical issue.,wife at home.,huge problem with me.,girlfriend already.,mental problem.,-0.007,0.785,-0.442,2.050,0.410,4.999,1.000,-0.157,8.820,0.490
test.enc.prompt.txt::01280,He has a,0.0,content_diversity,huge issue with everyone including me.,big problem with me and the group.,problem with me that has turned gigantic.,gigantic issue with the fact I'm dating his ex.,enormous problem with me. He doesn't like me at all.,-0.094,0.890,-0.416,2.243,0.374,4.885,0.977,-0.501,26.661,0.544
test.enc.prompt.txt::01281,The guy with,1.0,content_diversity,the big brown hat,curly red hair,a plate of food,a hole in his shirt,the big dog bouncing around,-0.019,0.959,-0.138,2.208,0.442,4.747,0.949,-0.142,12.663,0.603
test.enc.prompt.txt::01281,The guy with,0.0,content_diversity,the playful german shepherd,the hyperactive large canine,the frisbee playing golden retriever,that really happy great pyrennees,a smiling poodle that is light on it's feet,-0.017,0.978,-0.152,1.823,0.365,4.985,0.997,-0.257,19.190,0.662
test.enc.prompt.txt::01282,"Yep. You know,",1.0,content_diversity,they always act like that,I feel the same way,the beach is relaxing,having a job is a good thing,this pandemic has been bizarre,-0.008,0.977,-0.143,2.547,0.509,4.305,0.861,-0.238,14.767,0.568
test.enc.prompt.txt::01282,"Yep. You know,",0.0,content_diversity,this virus has not followed norms in any way at all,there are just no models to predict how this epidemic will be,the things everyone is doing for this illness are just stranger than strange,I have never seen anything like covid-19,everything that has been happening with the pandemic has us in a new normal society,-0.016,0.969,-0.057,2.594,0.519,4.925,0.985,-0.355,41.192,0.687
test.enc.prompt.txt::01283,Then just help,1.0,content_diversity,me instead,everyone please,if you can,as best as you can,all of the kids only,-0.016,0.948,-0.136,3.073,0.615,4.998,1.000,-0.370,14.039,0.826
test.enc.prompt.txt::01283,Then just help,0.0,content_diversity,i need everyone to please help,anyone can help,they all can help if they want to,anybody can help,"please, everyone can help",-0.121,0.885,-0.465,2.249,0.450,4.693,0.939,-0.804,15.669,0.627
test.enc.prompt.txt::01284,I thought I,1.0,content_diversity,knew you i guess not,could trust you,called you this morning,told you about it,confirmed everything,-0.031,0.967,-0.068,1.943,0.389,4.998,1.000,-0.364,14.111,0.784
test.enc.prompt.txt::01284,I thought I,0.0,content_diversity,pretty sure i told you,i think i told you,not sure if i mentioned it to you,were you told about it,definetly told you,-0.116,0.867,-0.144,2.201,0.440,4.972,0.994,-0.529,13.092,0.504
test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,-0.019,0.960,-0.241,2.700,0.540,4.914,0.983,-0.194,17.499,0.500
test.enc.prompt.txt::01285,Why?! I think,0.0,content_diversity,felines are better pets than canines.,tabbies are better pets than hounds.,pussycats are better pets than pooches.,kittens are better pets than puppies.,cats make better companions than dogs.,-0.279,0.735,-0.570,1.049,0.210,4.956,0.991,-0.704,14.589,0.417
test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,0.000,1.000,-0.034,2.216,0.443,4.997,0.999,-0.180,11.820,0.622
test.enc.prompt.txt::01286,"Yes, I have",0.0,content_diversity,a lot of friends,many buddies,wide group of friends,a lot of people i consider friends,many people who are there for me,-0.063,0.887,-0.308,1.923,0.385,4.315,0.863,-0.749,13.975,0.582
test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,-0.042,0.750,-0.272,2.453,0.491,4.997,0.999,-0.552,10.753,0.672
test.enc.prompt.txt::01287,No. I admire,0.0,content_diversity,the things you do are cool,"everything you do, its unique",how come everything you do is awesome?,very cool things that you do,everything you do seems cool,-0.122,0.865,-0.383,2.561,0.512,4.382,0.876,-0.705,18.063,0.583
test.enc.prompt.txt::01288,"Eve, if you'll",1.0,content_diversity,"be like that, I give up","excuse me, I have better things to do","support him, everything will change","go ahead with the plan, it is an end of our friendship","be sore loser, then don't play next time",-0.006,0.990,-0.093,2.327,0.465,4.935,0.987,-0.328,26.666,0.580
test.enc.prompt.txt::01288,"Eve, if you'll",0.0,content_diversity,"behave like that, I give up","be like that, I quit","be rude, I quit","behave rude, I will quit","be like that, I'm not part of it anymore",-0.116,0.839,-0.464,1.626,0.325,3.907,0.781,-0.722,18.503,0.514
test.enc.prompt.txt::01289,"Adam...dumb question, but",1.0,content_diversity,do you like me as a friend,do you think we could be together,do you believe in ghosts,do you think trump should resign,do you believe in karma,-0.161,0.827,-0.349,1.552,0.310,4.611,0.922,-0.270,19.897,0.663
test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,-0.416,0.579,-0.770,1.244,0.249,4.436,0.887,-0.816,18.318,0.458
test.enc.prompt.txt::01290,That's right. And,1.0,content_diversity,I'm not gonna change my mind.,don't argue with me.,the world will be ending soon.,you're fired.,the baby is due in March.,-0.003,0.992,-0.251,2.701,0.540,4.981,0.996,-0.222,19.232,0.549
test.enc.prompt.txt::01290,That's right. And,0.0,content_diversity,the planet will soon be demolished.,Armageddon is on the horizon.,the apocalypse is near.,the Earth will cease to exist.,the world will be over.,-0.058,0.938,-0.388,2.118,0.424,4.389,0.878,-0.449,19.897,0.642
test.enc.prompt.txt::01291,Adam....you should go,1.0,content_diversity,to bed now because you need rest.,to the store and get groceries.,ask her out before someone else does.,to Michigan State for college.,trick or treating with your little brother.,-0.010,0.988,-0.094,2.882,0.576,4.999,1.000,-0.063,20.321,0.549
test.enc.prompt.txt::01291,Adam....you should go,0.0,content_diversity,to Kroger to pick up food.,to the supermarket.,to the food store.,to Piggly Wiggly for our weekly supplies.,to the market to replenish our food supply.,-0.104,0.904,-0.264,2.204,0.441,4.834,0.967,-0.504,15.925,0.483
test.enc.prompt.txt::01292,We can make,1.0,content_diversity,the project work.,dinner together.,our kids happy.,everything better.,our love last.,-0.007,0.585,-0.417,2.331,0.466,4.990,0.998,-0.245,9.864,0.548
test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,-0.018,0.760,-0.435,2.168,0.434,4.954,0.991,-0.507,11.369,0.568
test.enc.prompt.txt::01293,"No, no! The",1.0,content_diversity,time is right,people left earlier,couch goes over there,fence is supposed to be white,alarm clock is set to 7,-0.016,0.973,-0.169,2.572,0.514,4.968,0.994,-0.175,15.203,0.691
test.enc.prompt.txt::01293,"No, no! The",0.0,content_diversity,everyone left earlier,people went home earier,they left sometime earlier,no i think they left earlier in the day,possibly went home before you,-0.053,0.914,-0.339,1.962,0.392,4.526,0.905,-0.613,14.981,0.599
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,-0.054,0.941,-0.612,1.704,0.341,4.653,0.931,-0.641,12.970,0.590
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,0.0,content_diversity,can send her a letter.,can write her.,can phone her.,can get in contact with her.,can contact her.,-0.111,0.910,-0.644,1.533,0.307,4.825,0.965,-0.627,9.816,0.393
test.enc.prompt.txt::01295,"But, I don't",1.0,content_diversity,think we can do it without you,believe in such a things,support republicans,mind being with you,like spending time together,-0.004,0.991,-0.083,2.456,0.491,4.871,0.974,-0.327,13.120,0.596
test.enc.prompt.txt::01295,"But, I don't",0.0,content_diversity,think it's feasible without you,think it's doable without your help,think we can succeed without you,believe we can do it on our own,think we can make it without you,-0.109,0.859,-0.549,1.431,0.286,4.094,0.819,-0.775,15.603,0.433
test.enc.prompt.txt::01296,This is great,1.0,content_diversity,"movie, really worth watching",advice,"pizza, i will recommend it to my friends","class, you learn so much","man, he helped me so much",-0.012,0.973,-0.149,2.045,0.409,4.998,1.000,-0.153,16.768,0.599
test.enc.prompt.txt::01296,This is great,0.0,content_diversity,"film, so enjoyable","movie, i enjoyed watching it","movie, everyone should give it a try","movie, i really liked it","film, i think it is worth watching",-0.055,0.924,-0.423,1.712,0.342,4.012,0.802,-0.646,16.340,0.511
test.enc.prompt.txt::01297,You have very,1.0,content_diversity,pretty eyes,longing smile,soft hands,well got to be kidding me,tall friends,0.000,1.000,-0.131,1.649,0.330,4.997,0.999,-0.295,10.784,0.770
